# m1 m2 DL Tc iota phic psi thetaS phiS logL logPrior
3.795315626948285577e+36 6.621219579925312800e+35 2.971287987151911385e+26 3.727620500095295906e+07 2.958617307168707633e+00 3.065356712409551765e+00 2.862591452497290856e+00 2.393523193408584326e+00 2.733843058730347053e+00 -2.216908999782895288e-38 0.000000000000000000e+00
3.253857177154535190e+36 6.759301212238872817e+35 2.791977338945071820e+26 3.418766107606800646e+07 2.224918214421336693e-01 5.369195417136594983e+00 3.277820884039811533e-01 2.246987625175601355e+00 1.380108640145059518e+00 -2.205671387270246359e-38 0.000000000000000000e+00
3.279136035489036998e+36 6.536259108757501014e+35 2.817390218026986180e+26 2.913622968519980460e+07 2.952237894995162648e+00 5.780366424440572359e+00 1.812237593715148920e+00 7.349668251633642013e-01 1.983987422048487881e+00 -2.146476673113097976e-38 0.000000000000000000e+00
3.141437362912739111e+36 8.911574904911706144e+35 3.312797166755070405e+26 3.597637074351081252e+07 9.813087593937087627e-01 1.321222312100593488e+00 6.778413571979505781e-01 1.498367468331334162e+00 5.296997106565839886e+00 -2.098552011649274747e-38 0.000000000000000000e+00
3.243824362976916605e+36 6.149188653929293957e+35 3.076267956351963401e+26 3.132615455815240368e+07 5.863572215552580458e-01 1.076970401852331560e-01 6.481086940457114753e-01 1.278636605388934644e+00 1.944969520800585050e+00 -2.083197824299040645e-38 0.000000000000000000e+00
2.151488317108758275e+36 9.524112902764954206e+35 3.235593024442524388e+26 2.888969126585364714e+07 5.438798764191226098e-01 4.976844457131869959e+00 2.499299719431608668e+00 1.704228078589001827e+00 2.482943108810589994e+00 -2.058601368600175118e-38 0.000000000000000000e+00
2.481905390705438956e+36 9.245779502155987431e+35 3.241922822100177971e+26 3.244735552706886455e+07 2.476337717745532796e+00 3.531363525025843941e+00 2.790812772461635394e+00 1.935970076493893188e+00 5.698375565765059214e+00 -2.055274032185572765e-38 0.000000000000000000e+00
3.768977214768521060e+36 6.149414473581731956e+35 3.391985355786360965e+26 3.409920190608039498e+07 3.535012934334458290e-02 5.121093547478265506e+00 2.489667137340279890e+00 9.666219638890843902e-01 4.621550838372346703e+00 -2.041827649148062244e-38 0.000000000000000000e+00
2.439829607380002249e+36 3.560867112723776417e+35 2.868301027754451167e+26 2.883931644868732244e+07 2.074124090915085983e-01 6.516352875837392311e-01 2.180147529677427976e+00 1.388805676364850861e+00 4.926889184563988167e+00 -2.029258413592739166e-38 0.000000000000000000e+00
2.557325640913589778e+36 9.330176560815736412e+35 3.639007995924149521e+26 3.330151361702184379e+07 2.738980031875877241e+00 1.915370419950963576e-01 2.638554956659064477e+00 1.998000960753480104e+00 1.381817515562857812e+00 -2.014398696347622788e-38 0.000000000000000000e+00
